"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"01.01.2021 00:00 - 01.01.2021 01:00","9282","9508"
"01.01.2021 01:00 - 01.01.2021 02:00","9019","9206"
"01.01.2021 02:00 - 01.01.2021 03:00","8860","9042"
"01.01.2021 03:00 - 01.01.2021 04:00","8855","9010"
"01.01.2021 04:00 - 01.01.2021 05:00","8933","9057"
"01.01.2021 05:00 - 01.01.2021 06:00","9122","9219"
"01.01.2021 06:00 - 01.01.2021 07:00","9088","9198"
"01.01.2021 07:00 - 01.01.2021 08:00","9247","9392"
"01.01.2021 08:00 - 01.01.2021 09:00","9230","9486"
"01.01.2021 09:00 - 01.01.2021 10:00","9323","9496"
"01.01.2021 10:00 - 01.01.2021 11:00","9507","9629"
"01.01.2021 11:00 - 01.01.2021 12:00","9574","9731"
"01.01.2021 12:00 - 01.01.2021 13:00","9641","9763"
"01.01.2021 13:00 - 01.01.2021 14:00","9693","9908"
"01.01.2021 14:00 - 01.01.2021 15:00","10035","10160"
"01.01.2021 15:00 - 01.01.2021 16:00","10318","10428"
"01.01.2021 16:00 - 01.01.2021 17:00","10348","10485"
"01.01.2021 17:00 - 01.01.2021 18:00","10412","10498"
"01.01.2021 18:00 - 01.01.2021 19:00","10338","10523"
"01.01.2021 19:00 - 01.01.2021 20:00","10130","10340"
"01.01.2021 20:00 - 01.01.2021 21:00","9714","10021"
"01.01.2021 21:00 - 01.01.2021 22:00","9991","10182"
"01.01.2021 22:00 - 01.01.2021 23:00","9835","10012"
"01.01.2021 23:00 - 02.01.2021 00:00","9790","9631"
"02.01.2021 00:00 - 02.01.2021 01:00","9489","9292"
"02.01.2021 01:00 - 02.01.2021 02:00","9355","9054"
"02.01.2021 02:00 - 02.01.2021 03:00","9255","8975"
"02.01.2021 03:00 - 02.01.2021 04:00","9265","8972"
"02.01.2021 04:00 - 02.01.2021 05:00","9378","9065"
"02.01.2021 05:00 - 02.01.2021 06:00","9604","9264"
"02.01.2021 06:00 - 02.01.2021 07:00","9731","9309"
"02.01.2021 07:00 - 02.01.2021 08:00","10064","9616"
"02.01.2021 08:00 - 02.01.2021 09:00","10157","9742"
"02.01.2021 09:00 - 02.01.2021 10:00","10253","9861"
"02.01.2021 10:00 - 02.01.2021 11:00","10297","9975"
"02.01.2021 11:00 - 02.01.2021 12:00","10309","10040"
"02.01.2021 12:00 - 02.01.2021 13:00","10325","10061"
"02.01.2021 13:00 - 02.01.2021 14:00","10400","10197"
"02.01.2021 14:00 - 02.01.2021 15:00","10678","10500"
"02.01.2021 15:00 - 02.01.2021 16:00","10963","10806"
"02.01.2021 16:00 - 02.01.2021 17:00","11098","10937"
"02.01.2021 17:00 - 02.01.2021 18:00","11157","11018"
"02.01.2021 18:00 - 02.01.2021 19:00","11082","10940"
"02.01.2021 19:00 - 02.01.2021 20:00","10780","10669"
"02.01.2021 20:00 - 02.01.2021 21:00","10344","10238"
"02.01.2021 21:00 - 02.01.2021 22:00","10495","10490"
"02.01.2021 22:00 - 02.01.2021 23:00","10329","10318"
"02.01.2021 23:00 - 03.01.2021 00:00","9576","9915"
"03.01.2021 00:00 - 03.01.2021 01:00","9322","9535"
"03.01.2021 01:00 - 03.01.2021 02:00","9175","9296"
"03.01.2021 02:00 - 03.01.2021 03:00","9089","9137"
"03.01.2021 03:00 - 03.01.2021 04:00","9115","9142"
"03.01.2021 04:00 - 03.01.2021 05:00","9210","9197"
"03.01.2021 05:00 - 03.01.2021 06:00","9413","9375"
"03.01.2021 06:00 - 03.01.2021 07:00","9530","9369"
"03.01.2021 07:00 - 03.01.2021 08:00","9848","9641"
"03.01.2021 08:00 - 03.01.2021 09:00","9985","9753"
"03.01.2021 09:00 - 03.01.2021 10:00","10160","9939"
"03.01.2021 10:00 - 03.01.2021 11:00","10287","10129"
"03.01.2021 11:00 - 03.01.2021 12:00","10350","10203"
"03.01.2021 12:00 - 03.01.2021 13:00","10371","10272"
"03.01.2021 13:00 - 03.01.2021 14:00","10403","10233"
"03.01.2021 14:00 - 03.01.2021 15:00","10591","10446"
"03.01.2021 15:00 - 03.01.2021 16:00","10789","10736"
"03.01.2021 16:00 - 03.01.2021 17:00","10895","10807"
"03.01.2021 17:00 - 03.01.2021 18:00","10935","10826"
"03.01.2021 18:00 - 03.01.2021 19:00","10947","10891"
"03.01.2021 19:00 - 03.01.2021 20:00","10775","10679"
"03.01.2021 20:00 - 03.01.2021 21:00","10416","10253"
"03.01.2021 21:00 - 03.01.2021 22:00","10669","10483"
