"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Greece (GR)","Actual Total Load [MW] - Greece (GR)"
"01.01.2021 00:00 - 01.01.2021 01:00","4556","4316"
"01.01.2021 01:00 - 01.01.2021 02:00","4415","4136"
"01.01.2021 02:00 - 01.01.2021 03:00","4215","3830"
"01.01.2021 03:00 - 01.01.2021 04:00","4045","3652"
"01.01.2021 04:00 - 01.01.2021 05:00","3964","3664"
"01.01.2021 05:00 - 01.01.2021 06:00","3864","3772"
"01.01.2021 06:00 - 01.01.2021 07:00","3675","3913"
"01.01.2021 07:00 - 01.01.2021 08:00","3796","4144"
"01.01.2021 08:00 - 01.01.2021 09:00","4137","4696"
"01.01.2021 09:00 - 01.01.2021 10:00","4646","5221"
"01.01.2021 10:00 - 01.01.2021 11:00","5141","5556"
"01.01.2021 11:00 - 01.01.2021 12:00","5247","5574"
"01.01.2021 12:00 - 01.01.2021 13:00","4984","5241"
"01.01.2021 13:00 - 01.01.2021 14:00","4434","4666"
"01.01.2021 14:00 - 01.01.2021 15:00","4250","4507"
"01.01.2021 15:00 - 01.01.2021 16:00","4243","4502"
"01.01.2021 16:00 - 01.01.2021 17:00","4588","4833"
"01.01.2021 17:00 - 01.01.2021 18:00","4947","5367"
"01.01.2021 18:00 - 01.01.2021 19:00","4968","5508"
"01.01.2021 19:00 - 01.01.2021 20:00","5018","5544"
"01.01.2021 20:00 - 01.01.2021 21:00","5108","5442"
"01.01.2021 21:00 - 01.01.2021 22:00","4888","5192"
"01.01.2021 22:00 - 01.01.2021 23:00","4748","4878"
"01.01.2021 23:00 - 02.01.2021 00:00","4191","4468"
"02.01.2021 00:00 - 02.01.2021 01:00","3811","4096"
"02.01.2021 01:00 - 02.01.2021 02:00","3731","3999"
"02.01.2021 02:00 - 02.01.2021 03:00","3480","3855"
"02.01.2021 03:00 - 02.01.2021 04:00","3290","3751"
"02.01.2021 04:00 - 02.01.2021 05:00","3279","3771"
"02.01.2021 05:00 - 02.01.2021 06:00","3420","3946"
"02.01.2021 06:00 - 02.01.2021 07:00","3580","4146"
"02.01.2021 07:00 - 02.01.2021 08:00","3893","4365"
"02.01.2021 08:00 - 02.01.2021 09:00","4457","4793"
"02.01.2021 09:00 - 02.01.2021 10:00","4922","5084"
"02.01.2021 10:00 - 02.01.2021 11:00","5146","5308"
"02.01.2021 11:00 - 02.01.2021 12:00","5206","5499"
"02.01.2021 12:00 - 02.01.2021 13:00","5063","5577"
"02.01.2021 13:00 - 02.01.2021 14:00","4672","5507"
"02.01.2021 14:00 - 02.01.2021 15:00","4812","5482"
"02.01.2021 15:00 - 02.01.2021 16:00","4944","5456"
"02.01.2021 16:00 - 02.01.2021 17:00","5294","5660"
"02.01.2021 17:00 - 02.01.2021 18:00","5783","6017"
"02.01.2021 18:00 - 02.01.2021 19:00","5833","5996"
"02.01.2021 19:00 - 02.01.2021 20:00","5724","5905"
"02.01.2021 20:00 - 02.01.2021 21:00","5443","5667"
"02.01.2021 21:00 - 02.01.2021 22:00","5014","5301"
"02.01.2021 22:00 - 02.01.2021 23:00","4624","4957"
"02.01.2021 23:00 - 03.01.2021 00:00","5012","4500"
"03.01.2021 00:00 - 03.01.2021 01:00","4591","4105"
"03.01.2021 01:00 - 03.01.2021 02:00","4471","3975"
"03.01.2021 02:00 - 03.01.2021 03:00","4280","3780"
"03.01.2021 03:00 - 03.01.2021 04:00","4160","3685"
"03.01.2021 04:00 - 03.01.2021 05:00","4140","3707"
"03.01.2021 05:00 - 03.01.2021 06:00","4220","3825"
"03.01.2021 06:00 - 03.01.2021 07:00","4321","3985"
"03.01.2021 07:00 - 03.01.2021 08:00","4642","4238"
"03.01.2021 08:00 - 03.01.2021 09:00","5034","4756"
"03.01.2021 09:00 - 03.01.2021 10:00","5399","5194"
"03.01.2021 10:00 - 03.01.2021 11:00","5696","5498"
"03.01.2021 11:00 - 03.01.2021 12:00","5873","5640"
"03.01.2021 12:00 - 03.01.2021 13:00","5781","5635"
"03.01.2021 13:00 - 03.01.2021 14:00","5403","5296"
"03.01.2021 14:00 - 03.01.2021 15:00","5398","5234"
"03.01.2021 15:00 - 03.01.2021 16:00","5375","5135"
"03.01.2021 16:00 - 03.01.2021 17:00","5685","5416"
"03.01.2021 17:00 - 03.01.2021 18:00","6244","5913"
"03.01.2021 18:00 - 03.01.2021 19:00","6394","5972"
"03.01.2021 19:00 - 03.01.2021 20:00","6295","5897"
"03.01.2021 20:00 - 03.01.2021 21:00","5964","5710"
"03.01.2021 21:00 - 03.01.2021 22:00","5494","5234"
"03.01.2021 22:00 - 03.01.2021 23:00","5094","4842"
"03.01.2021 23:00 - 04.01.2021 00:00","4358","4390"
"04.01.2021 00:00 - 04.01.2021 01:00","4007","3965"
"04.01.2021 01:00 - 04.01.2021 02:00","3917","3980"
"04.01.2021 02:00 - 04.01.2021 03:00","3807","3898"
"04.01.2021 03:00 - 04.01.2021 04:00","3766","3805"
"04.01.2021 04:00 - 04.01.2021 05:00","3906","3901"
"04.01.2021 05:00 - 04.01.2021 06:00","4346","4253"
"04.01.2021 06:00 - 04.01.2021 07:00","5036","4754"
"04.01.2021 07:00 - 04.01.2021 08:00","5500","5248"
"04.01.2021 08:00 - 04.01.2021 09:00","5809","5883"
"04.01.2021 09:00 - 04.01.2021 10:00","5906","6299"
"04.01.2021 10:00 - 04.01.2021 11:00","5960","6553"
"04.01.2021 11:00 - 04.01.2021 12:00","6013","6675"
"04.01.2021 12:00 - 04.01.2021 13:00","5990","6708"
"04.01.2021 13:00 - 04.01.2021 14:00","5843","6452"
"04.01.2021 14:00 - 04.01.2021 15:00","5913","6426"
"04.01.2021 15:00 - 04.01.2021 16:00","5920","6321"
"04.01.2021 16:00 - 04.01.2021 17:00","6302","6300"
"04.01.2021 17:00 - 04.01.2021 18:00","6730","6584"
"04.01.2021 18:00 - 04.01.2021 19:00","6850","6613"
"04.01.2021 19:00 - 04.01.2021 20:00","6750","6466"
"04.01.2021 20:00 - 04.01.2021 21:00","6400","6147"
"04.01.2021 21:00 - 04.01.2021 22:00","5779","5552"
"04.01.2021 22:00 - 04.01.2021 23:00","5359","5275"
"04.01.2021 23:00 - 05.01.2021 00:00","4855","4815"
"05.01.2021 00:00 - 05.01.2021 01:00","4455","4409"
"05.01.2021 01:00 - 05.01.2021 02:00","4355","4316"
"05.01.2021 02:00 - 05.01.2021 03:00","4224","4193"
"05.01.2021 03:00 - 05.01.2021 04:00","4174","4169"
"05.01.2021 04:00 - 05.01.2021 05:00","4283","4257"
"05.01.2021 05:00 - 05.01.2021 06:00","4593","4677"
"05.01.2021 06:00 - 05.01.2021 07:00","5054","5163"
"05.01.2021 07:00 - 05.01.2021 08:00","5644","5629"
"05.01.2021 08:00 - 05.01.2021 09:00","6139","6112"
"05.01.2021 09:00 - 05.01.2021 10:00","6437","6291"
"05.01.2021 10:00 - 05.01.2021 11:00","6550","6326"
"05.01.2021 11:00 - 05.01.2021 12:00","6617","6301"
"05.01.2021 12:00 - 05.01.2021 13:00","6529","6212"
"05.01.2021 13:00 - 05.01.2021 14:00","6278","6001"
"05.01.2021 14:00 - 05.01.2021 15:00","6266","6002"
"05.01.2021 15:00 - 05.01.2021 16:00","6210","5910"
"05.01.2021 16:00 - 05.01.2021 17:00","6488","6239"
"05.01.2021 17:00 - 05.01.2021 18:00","6918","6744"
"05.01.2021 18:00 - 05.01.2021 19:00","6958","6765"
"05.01.2021 19:00 - 05.01.2021 20:00","6878","6678"
"05.01.2021 20:00 - 05.01.2021 21:00","6468","6388"
"05.01.2021 21:00 - 05.01.2021 22:00","5787","5821"
"05.01.2021 22:00 - 05.01.2021 23:00","5277","5543"
"05.01.2021 23:00 - 06.01.2021 00:00","4777","5041"
"06.01.2021 00:00 - 06.01.2021 01:00","4287","4618"
"06.01.2021 01:00 - 06.01.2021 02:00","4237","4515"
"06.01.2021 02:00 - 06.01.2021 03:00","4107","4321"
"06.01.2021 03:00 - 06.01.2021 04:00","4017","4215"
"06.01.2021 04:00 - 06.01.2021 05:00","4046","4263"
"06.01.2021 05:00 - 06.01.2021 06:00","4206","4396"
"06.01.2021 06:00 - 06.01.2021 07:00","4357","4592"
"06.01.2021 07:00 - 06.01.2021 08:00","4627","4838"
"06.01.2021 08:00 - 06.01.2021 09:00","4906","5341"
"06.01.2021 09:00 - 06.01.2021 10:00","5112","5785"
"06.01.2021 10:00 - 06.01.2021 11:00","5485","6164"
