"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"01.01.2021 00:00 - 01.01.2021 01:00","22603","22520"
"01.01.2021 01:00 - 01.01.2021 02:00","22004","20989"
"01.01.2021 02:00 - 01.01.2021 03:00","20597","19330"
"01.01.2021 03:00 - 01.01.2021 04:00","19322","18172"
"01.01.2021 04:00 - 01.01.2021 05:00","18587","17795"
"01.01.2021 05:00 - 01.01.2021 06:00","18497","18117"
"01.01.2021 06:00 - 01.01.2021 07:00","19471","19062"
"01.01.2021 07:00 - 01.01.2021 08:00","19991","19520"
"01.01.2021 08:00 - 01.01.2021 09:00","20218","20162"
"01.01.2021 09:00 - 01.01.2021 10:00","21450","22075"
"01.01.2021 10:00 - 01.01.2021 11:00","22532","23517"
"01.01.2021 11:00 - 01.01.2021 12:00","23307","25649"
"01.01.2021 12:00 - 01.01.2021 13:00","24109","27261"
"01.01.2021 13:00 - 01.01.2021 14:00","23366","25503"
"01.01.2021 14:00 - 01.01.2021 15:00","22419","23950"
"01.01.2021 15:00 - 01.01.2021 16:00","22852","23822"
"01.01.2021 16:00 - 01.01.2021 17:00","23957","24988"
"01.01.2021 17:00 - 01.01.2021 18:00","27498","27359"
"01.01.2021 18:00 - 01.01.2021 19:00","28636","28016"
"01.01.2021 19:00 - 01.01.2021 20:00","29316","28627"
"01.01.2021 20:00 - 01.01.2021 21:00","28926","28091"
"01.01.2021 21:00 - 01.01.2021 22:00","27575","26838"
"01.01.2021 22:00 - 01.01.2021 23:00","25494","24967"
"01.01.2021 23:00 - 02.01.2021 00:00","23245","22508"
"02.01.2021 00:00 - 02.01.2021 01:00","20719","20723"
"02.01.2021 01:00 - 02.01.2021 02:00","18689","19309"
"02.01.2021 02:00 - 02.01.2021 03:00","17482","18498"
"02.01.2021 03:00 - 02.01.2021 04:00","17091","18024"
"02.01.2021 04:00 - 02.01.2021 05:00","17220","18164"
"02.01.2021 05:00 - 02.01.2021 06:00","18232","19015"
"02.01.2021 06:00 - 02.01.2021 07:00","20517","20885"
"02.01.2021 07:00 - 02.01.2021 08:00","22977","22802"
"02.01.2021 08:00 - 02.01.2021 09:00","25593","24593"
"02.01.2021 09:00 - 02.01.2021 10:00","28520","26761"
"02.01.2021 10:00 - 02.01.2021 11:00","29526","28467"
"02.01.2021 11:00 - 02.01.2021 12:00","30617","29471"
"02.01.2021 12:00 - 02.01.2021 13:00","31610","29367"
"02.01.2021 13:00 - 02.01.2021 14:00","30472","28264"
"02.01.2021 14:00 - 02.01.2021 15:00","29573","27488"
"02.01.2021 15:00 - 02.01.2021 16:00","29300","27683"
"02.01.2021 16:00 - 02.01.2021 17:00","30415","28920"
"02.01.2021 17:00 - 02.01.2021 18:00","32366","31500"
"02.01.2021 18:00 - 02.01.2021 19:00","32968","32277"
