Time (CET/CEST),Day-ahead Total Load Forecast [MW] - Poland (PL),Actual Total Load [MW] - Poland (PL)
01.01.2022 00:00 - 01.01.2022 01:00,15450,14911
01.01.2022 01:00 - 01.01.2022 02:00,14750,14438
01.01.2022 02:00 - 01.01.2022 03:00,14100,13935
01.01.2022 03:00 - 01.01.2022 04:00,13700,13579
01.01.2022 04:00 - 01.01.2022 05:00,13450,13397
01.01.2022 05:00 - 01.01.2022 06:00,13500,13364
01.01.2022 06:00 - 01.01.2022 07:00,13650,13449
01.01.2022 07:00 - 01.01.2022 08:00,13600,13444
01.01.2022 08:00 - 01.01.2022 09:00,13800,13527
01.01.2022 09:00 - 01.01.2022 10:00,14450,14202
01.01.2022 10:00 - 01.01.2022 11:00,15150,14851
01.01.2022 11:00 - 01.01.2022 12:00,15600,15643
01.01.2022 12:00 - 01.01.2022 13:00,16150,16235
01.01.2022 13:00 - 01.01.2022 14:00,16450,16712
01.01.2022 14:00 - 01.01.2022 15:00,16500,16874
01.01.2022 15:00 - 01.01.2022 16:00,16850,17032
01.01.2022 16:00 - 01.01.2022 17:00,17750,17715
01.01.2022 17:00 - 01.01.2022 18:00,17850,17887
01.01.2022 18:00 - 01.01.2022 19:00,17800,17929
01.01.2022 19:00 - 01.01.2022 20:00,17900,17898
01.01.2022 20:00 - 01.01.2022 21:00,17700,17594
01.01.2022 21:00 - 01.01.2022 22:00,17000,16972
01.01.2022 22:00 - 01.01.2022 23:00,16350,16426
01.01.2022 23:00 - 02.01.2022 00:00,15450,15411
02.01.2022 00:00 - 02.01.2022 01:00,14150,14480
02.01.2022 01:00 - 02.01.2022 02:00,13550,13833
02.01.2022 02:00 - 02.01.2022 03:00,13300,13451
02.01.2022 03:00 - 02.01.2022 04:00,13250,13267
02.01.2022 04:00 - 02.01.2022 05:00,13500,13326
02.01.2022 05:00 - 02.01.2022 06:00,14050,13714
02.01.2022 06:00 - 02.01.2022 07:00,14800,14230
02.01.2022 07:00 - 02.01.2022 08:00,14850,14542
02.01.2022 08:00 - 02.01.2022 09:00,15950,14960
02.01.2022 09:00 - 02.01.2022 10:00,16950,15855
02.01.2022 10:00 - 02.01.2022 11:00,17600,16709
02.01.2022 11:00 - 02.01.2022 12:00,17950,17032
02.01.2022 12:00 - 02.01.2022 13:00,18150,17414
02.01.2022 13:00 - 02.01.2022 14:00,18350,18006
02.01.2022 14:00 - 02.01.2022 15:00,18050,17914
02.01.2022 15:00 - 02.01.2022 16:00,18450,18024
02.01.2022 16:00 - 02.01.2022 17:00,19500,18627
02.01.2022 17:00 - 02.01.2022 18:00,19500,18737
02.01.2022 18:00 - 02.01.2022 19:00,19550,18753
02.01.2022 19:00 - 02.01.2022 20:00,19550,18774
02.01.2022 20:00 - 02.01.2022 21:00,19250,18378
02.01.2022 21:00 - 02.01.2022 22:00,18500,17527
02.01.2022 22:00 - 02.01.2022 23:00,17800,16897
02.01.2022 23:00 - 03.01.2022 00:00,16800,15711
03.01.2022 00:00 - 03.01.2022 01:00,15500,14918
03.01.2022 01:00 - 03.01.2022 02:00,14800,14446
03.01.2022 02:00 - 03.01.2022 03:00,14500,14223
03.01.2022 03:00 - 03.01.2022 04:00,14650,14320
03.01.2022 04:00 - 03.01.2022 05:00,15350,14814
03.01.2022 05:00 - 03.01.2022 06:00,17350,15727
03.01.2022 06:00 - 03.01.2022 07:00,20500,18749
03.01.2022 07:00 - 03.01.2022 08:00,21800,20921
03.01.2022 08:00 - 03.01.2022 09:00,23100,22135
03.01.2022 09:00 - 03.01.2022 10:00,23400,22929
03.01.2022 10:00 - 03.01.2022 11:00,23900,22935
03.01.2022 11:00 - 03.01.2022 12:00,23900,23366
03.01.2022 12:00 - 03.01.2022 13:00,24100,23608
03.01.2022 13:00 - 03.01.2022 14:00,24300,23666
03.01.2022 14:00 - 03.01.2022 15:00,23700,23374
03.01.2022 15:00 - 03.01.2022 16:00,23850,23417
03.01.2022 16:00 - 03.01.2022 17:00,24350,23971
03.01.2022 17:00 - 03.01.2022 18:00,24250,23882
03.01.2022 18:00 - 03.01.2022 19:00,23700,23558
03.01.2022 19:00 - 03.01.2022 20:00,23500,23340
03.01.2022 20:00 - 03.01.2022 21:00,23100,22852
03.01.2022 21:00 - 03.01.2022 22:00,21950,21306
03.01.2022 22:00 - 03.01.2022 23:00,20250,19825
03.01.2022 23:00 - 04.01.2022 00:00,18900,18509
