Time (CET/CEST),Day-ahead Total Load Forecast [MW] - Romania (RO),Actual Total Load [MW] - Romania (RO)
01.01.2022 00:00 - 01.01.2022 00:15,6130,5955
01.01.2022 00:15 - 01.01.2022 00:30,6050,N/A
01.01.2022 00:30 - 01.01.2022 00:45,5980,5821
01.01.2022 00:45 - 01.01.2022 01:00,5910,5760
01.01.2022 01:00 - 01.01.2022 01:15,5830,5704
01.01.2022 01:15 - 01.01.2022 01:30,5770,5641
01.01.2022 01:30 - 01.01.2022 01:45,5720,5594
01.01.2022 01:45 - 01.01.2022 02:00,5670,5549
01.01.2022 02:00 - 01.01.2022 02:15,5620,5502
01.01.2022 02:15 - 01.01.2022 02:30,5580,5470
01.01.2022 02:30 - 01.01.2022 02:45,5540,5426
01.01.2022 02:45 - 01.01.2022 03:00,5510,5378
01.01.2022 03:00 - 01.01.2022 03:15,5490,5349
01.01.2022 03:15 - 01.01.2022 03:30,5470,5323
01.01.2022 03:30 - 01.01.2022 03:45,5450,5308
01.01.2022 03:45 - 01.01.2022 04:00,5440,5290
01.01.2022 04:00 - 01.01.2022 04:15,5430,5274
01.01.2022 04:15 - 01.01.2022 04:30,5420,5270
01.01.2022 04:30 - 01.01.2022 04:45,5420,5257
01.01.2022 04:45 - 01.01.2022 05:00,5410,5241
01.01.2022 05:00 - 01.01.2022 05:15,5410,5258
01.01.2022 05:15 - 01.01.2022 05:30,5400,5239
01.01.2022 05:30 - 01.01.2022 05:45,5400,5240
01.01.2022 05:45 - 01.01.2022 06:00,5390,5223
01.01.2022 06:00 - 01.01.2022 06:15,5390,5220
01.01.2022 06:15 - 01.01.2022 06:30,5380,5234
01.01.2022 06:30 - 01.01.2022 06:45,5380,5222
01.01.2022 06:45 - 01.01.2022 07:00,5370,5205
01.01.2022 07:00 - 01.01.2022 07:15,5380,5179
01.01.2022 07:15 - 01.01.2022 07:30,5400,5190
01.01.2022 07:30 - 01.01.2022 07:45,5420,5211
01.01.2022 07:45 - 01.01.2022 08:00,5440,5231
01.01.2022 08:00 - 01.01.2022 08:15,5470,5260
01.01.2022 08:15 - 01.01.2022 08:30,5500,5265
01.01.2022 08:30 - 01.01.2022 08:45,5520,5276
01.01.2022 08:45 - 01.01.2022 09:00,5540,5305
01.01.2022 09:00 - 01.01.2022 09:15,5560,5333
01.01.2022 09:15 - 01.01.2022 09:30,5580,5360
01.01.2022 09:30 - 01.01.2022 09:45,5590,5370
01.01.2022 09:45 - 01.01.2022 10:00,5600,5384
01.01.2022 10:00 - 01.01.2022 10:15,5610,5397
