"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Sweden (SE)","Actual Total Load [MW] - Sweden (SE)"
"01.01.2021 00:00 - 01.01.2021 01:00","15043","15678"
"01.01.2021 01:00 - 01.01.2021 02:00","14862","15507"
"01.01.2021 02:00 - 01.01.2021 03:00","14644","15130"
"01.01.2021 03:00 - 01.01.2021 04:00","14409","14917"
"01.01.2021 04:00 - 01.01.2021 05:00","14393","15029"
"01.01.2021 05:00 - 01.01.2021 06:00","14553","15275"
"01.01.2021 06:00 - 01.01.2021 07:00","14900","15703"
"01.01.2021 07:00 - 01.01.2021 08:00","15253","15962"
"01.01.2021 08:00 - 01.01.2021 09:00","15561","16338"
"01.01.2021 09:00 - 01.01.2021 10:00","15820","16765"
"01.01.2021 10:00 - 01.01.2021 11:00","16243","17202"
"01.01.2021 11:00 - 01.01.2021 12:00","16588","17515"
"01.01.2021 12:00 - 01.01.2021 13:00","16737","17585"
"01.01.2021 13:00 - 01.01.2021 14:00","16905","17703"
"01.01.2021 14:00 - 01.01.2021 15:00","17158","18007"
"01.01.2021 15:00 - 01.01.2021 16:00","17704","18410"
"01.01.2021 16:00 - 01.01.2021 17:00","18217","18716"
"01.01.2021 17:00 - 01.01.2021 18:00","18272","18803"
"01.01.2021 18:00 - 01.01.2021 19:00","18029","18585"
"01.01.2021 19:00 - 01.01.2021 20:00","17731","18144"
"01.01.2021 20:00 - 01.01.2021 21:00","17277","17604"
"01.01.2021 21:00 - 01.01.2021 22:00","16772","17079"
"01.01.2021 22:00 - 01.01.2021 23:00","16198","16554"
"01.01.2021 23:00 - 02.01.2021 00:00","15689","15938"
"02.01.2021 00:00 - 02.01.2021 01:00","16402","15400"
"02.01.2021 01:00 - 02.01.2021 02:00","16095","15201"
"02.01.2021 02:00 - 02.01.2021 03:00","15916","15079"
"02.01.2021 03:00 - 02.01.2021 04:00","15857","15092"
"02.01.2021 04:00 - 02.01.2021 05:00","15902","15165"
"02.01.2021 05:00 - 02.01.2021 06:00","16086","15347"
"02.01.2021 06:00 - 02.01.2021 07:00","16531","15610"
"02.01.2021 07:00 - 02.01.2021 08:00","17086","16189"
"02.01.2021 08:00 - 02.01.2021 09:00","17789","16782"
"02.01.2021 09:00 - 02.01.2021 10:00","18338","17415"
"02.01.2021 10:00 - 02.01.2021 11:00","18742","17953"
"02.01.2021 11:00 - 02.01.2021 12:00","18865","18292"
"02.01.2021 12:00 - 02.01.2021 13:00","18831","18331"
"02.01.2021 13:00 - 02.01.2021 14:00","18755","18306"
"02.01.2021 14:00 - 02.01.2021 15:00","18770","18450"
"02.01.2021 15:00 - 02.01.2021 16:00","19113","19044"
"02.01.2021 16:00 - 02.01.2021 17:00","19598","19695"
"02.01.2021 17:00 - 02.01.2021 18:00","19736","19884"
"02.01.2021 18:00 - 02.01.2021 19:00","19464","19613"
"02.01.2021 19:00 - 02.01.2021 20:00","19007","19034"
"02.01.2021 20:00 - 02.01.2021 21:00","18452","18425"
"02.01.2021 21:00 - 02.01.2021 22:00","17901","17870"
"02.01.2021 22:00 - 02.01.2021 23:00","17321","17259"
"02.01.2021 23:00 - 03.01.2021 00:00","16801","16762"
"03.01.2021 00:00 - 03.01.2021 01:00","16475","16457"
"03.01.2021 01:00 - 03.01.2021 02:00","16211","16080"
"03.01.2021 02:00 - 03.01.2021 03:00","16070","15790"
"03.01.2021 03:00 - 03.01.2021 04:00","16063","15639"
"03.01.2021 04:00 - 03.01.2021 05:00","16146","15808"
"03.01.2021 05:00 - 03.01.2021 06:00","16363","15874"
"03.01.2021 06:00 - 03.01.2021 07:00","16770","16326"
"03.01.2021 07:00 - 03.01.2021 08:00","17272","16563"
"03.01.2021 08:00 - 03.01.2021 09:00","17826","17157"
"03.01.2021 09:00 - 03.01.2021 10:00","18370","17754"
"03.01.2021 10:00 - 03.01.2021 11:00","18833","18157"
"03.01.2021 11:00 - 03.01.2021 12:00","19074","18383"
"03.01.2021 12:00 - 03.01.2021 13:00","19109","18387"
"03.01.2021 13:00 - 03.01.2021 14:00","19104","18571"
"03.01.2021 14:00 - 03.01.2021 15:00","19233","18796"
"03.01.2021 15:00 - 03.01.2021 16:00","19709","19188"
"03.01.2021 16:00 - 03.01.2021 17:00","20241","20055"
"03.01.2021 17:00 - 03.01.2021 18:00","20525","20334"
"03.01.2021 18:00 - 03.01.2021 19:00","20409","19968"
"03.01.2021 19:00 - 03.01.2021 20:00","20132","19481"
"03.01.2021 20:00 - 03.01.2021 21:00","19684","19221"
"03.01.2021 21:00 - 03.01.2021 22:00","19099","18613"
"03.01.2021 22:00 - 03.01.2021 23:00","18427","17690"
